"";"searchterms"
"258";"establish"
"259";"established"
"260";"estimate"
"261";"estimated"
"262";"estimates"
"263";"estimating"
"264";"estimation"
"265";"evaluate"
"266";"evaluated"
"267";"evaluation"
"268";"event"
"269";"events"
"270";"evolution"
"271";"exhibit"
"272";"exist"
"273";"experiment"
"274";"experimental"
"275";"explore"
"276";"extensive"
"277";"extent"
"278";"extra"
"279";"extract"
"280";"extracted"
"281";"extreme"
"282";"factor"
"283";"factors"
"284";"feature"
"285";"features"
"286";"field"
"287";"fields"
"288";"final"
"289";"finally"
"290";"finding"
"291";"findings"
"292";"flight"
"293";"flood"
"294";"floodplains"
"295";"focus"
"296";"forests"
"297";"formation"
"298";"formed"
"299";"forms"
"300";"found"
"301";"frequent"
"302";"fully"
"303";"function"
"304";"functions"
"305";"fusion"
"306";"future"
"307";"general"
"308";"generate"
"309";"generated"
"310";"global"
"311";"gradient"
"312";"grassland ecosystem"
"313";"grasslands"
"314";"great"
"315";"greater"
"316";"green"
"317";"ground"
"318";"group"
"319";"growing"
"320";"growth"
"321";"habitat"
"322";"height"
"323";"heterogeneous"
"324";"high-resolution"
"325";"higher"
"326";"highest"
"327";"highlight"
"328";"highly"
"329";"human"
"330";"hydrologic"
"331";"hydrological"
"332";"hyperspectral"
"333";"identification"
"334";"identified"
"335";"identify"
"336";"identifying"
"337";"image"
"338";"images"
"339";"imaging"
"340";"impact"
"341";"impacts"
"342";"implement"
"343";"importance"
"344";"important"
"345";"improve"
"346";"improved"
"347";"improvement"
"348";"include"
"349";"including"
"350";"increase"
"351";"increased"
"352";"increasing"
"353";"index"
"354";"indicating"
"355";"indicator"
"356";"indicators"
"357";"indices"
"358";"individual"
"359";"influence"
"360";"inform"
"361";"informa"
"362";"information"
"363";"infrared"
"364";"insight"
"365";"insights"
"366";"integrate"
"367";"integrated"
"368";"intensity"
"369";"intensive"
"370";"investigate"
"371";"investigated"
"372";"investigation"
"373";"labor"
"374";"lands"
"375";"landscapes"
"376";"large"
"377";"large-scale"
"378";"larger"
"379";"layer"
"380";"learning"
"381";"level"
"382";"levels"
"383";"license"
"384";"licensee"
"385";"light"
"386";"limited"
"387";"linear"
"388";"local"
"389";"located"
"390";"location"
"391";"long-term"
"392";"lower"
"393";"machine"
"394";"making"
"395";"management"
"396";"matter"
"397";"maximum"
"398";"measure"
"399";"measured"
"400";"measurement"
"401";"measurements"
"402";"measures"
"403";"method"
"404";"methods"
"405";"metric"
"406";"metrics"
"407";"mixed"
"408";"model"
"409";"modeling"
"410";"modelling"
"411";"models"
"412";"moderate"
"413";"monitor"
"414";"morphological"
"415";"mosaic"
"416";"motion"
"417";"mountain"
"418";"multiple"
"419";"multispectral"
"420";"national"
"421";"native"
"422";"natural"
"423";"nature"
"424";"negative"
"425";"network"
"426";"normal"
"427";"normalized"
"428";"normalized difference"
"429";"north"
"430";"northern"
"431";"number"
"432";"object"
"433";"objective"
"434";"observation"
"435";"observations"
"436";"observe"
"437";"observed"
"438";"obtain"
"439";"obtained"
"440";"occur"
"441";"offer"
"442";"optimal"
"443";"order"
"444";"original"
"445";"owing"
"446";"paper"
"447";"parameter"
"448";"parameters"
"449";"partial"
"450";"patch"
"451";"patches"
"452";"pattern"
"453";"patterns"
"454";"perform"
"455";"performance"
"456";"performed"
"457";"period"
"458";"physical"
"459";"plain"
"460";"plants"
"461";"plate"
"462";"plateau"
"463";"platform"
"464";"plots"
"465";"point"
"466";"point cloud"
"467";"points"
"468";"population"
"469";"position"
"470";"positive"
"471";"potential"
"472";"practical"
"473";"precise"
"474";"precision"
"475";"predict"
"476";"predictor"
"477";"present"
"478";"presented"
"479";"presents"
"480";"press"
"481";"prevent"
"482";"problem"
"483";"process"
"484";"processes"
"485";"processing"
"486";"produce"
"487";"product"
"488";"production"
"489";"productivity"
"490";"promising"
"491";"proper"
"492";"properties"
"493";"propose"
"494";"proposed"
"495";"prove"
"496";"proved"
"497";"provide"
"498";"provided"
"499";"providing"
"500";"published"
"501";"qinghai"
"502";"quality"
"503";"quantify"
"504";"quantitative"
"505";"random"
"506";"range"
"507";"rapid"
"508";"rates"
"509";"ratio"
"510";"reach"
"511";"recent"
"512";"record"
"513";"reduce"
"514";"reduced"
"515";"reduction"
"516";"reference"
"517";"reflectance"
"518";"region"
"519";"regions"
"520";"regression"
"521";"related"
"522";"relation"
"523";"relationship"
"524";"relationships"
"525";"relative"
"526";"remain"
"527";"remote"
"528";"represent"
"529";"require"
"530";"required"
"531";"requires"
"532";"research"
"533";"reserve"
"534";"reserved"
"535";"resolution"
"536";"resource"
"537";"resources"
"538";"respect"
"539";"response"
"540";"result"
"541";"results"
"542";"results demonstrate"
"543";"results showed"
"544";"reveal"
"545";"revealed"
"546";"rights"
"547";"rights reserved"
"548";"robust"
"549";"sample"
"550";"samples"
"551";"sampling"
"552";"satellite"
"553";"scale"
"554";"scales"
"555";"science"
"556";"scientific"
"557";"search"
"558";"seasonal"
"559";"sediment"
"560";"selected"
"561";"sensing"
"562";"sensitive"
"563";"sensor"
"564";"sensors"
"565";"serve"
"566";"served"
"567";"shape"
"568";"short"
"569";"showed"
"570";"shows"
"571";"shrubs"
"572";"significant"
"573";"significantly"
"574";"similar"
"575";"single"
"576";"sites"
"577";"slope"
"578";"small"
"579";"society"
"580";"solution"
"581";"source"
"582";"sources"
"583";"south"
"584";"southern"
"585";"space"
"586";"spatial"
"587";"spatial pattern"
"588";"spatially"
"589";"species"
"590";"specific"
"591";"spectra"
"592";"spectral"
"593";"spread"
"594";"square"
"595";"square error"
"596";"stable"
"597";"stage"
"598";"standard"
"599";"state"
"600";"stock"
"601";"store"
"602";"strategies"
"603";"strong"
"604";"structural"
"605";"structure"
"606";"studies"
"607";"study"
"608";"success"
"609";"successful"
"610";"successfully"
"611";"suggest"
"612";"suitable"
"613";"support"
"614";"support vector"
"615";"surface"
"616";"surface model"
"617";"survey"
"618";"sustainable"
"619";"switzerland"
"620";"system"
"621";"systems"
"622";"table"
"623";"target"
"624";"technique"
"625";"techniques"
"626";"technology"
"627";"temporal"
"628";"terms"
"629";"terrain"
"630";"terrestrial"
"631";"tested"
"632";"texture"
"633";"thermal"
"634";"tibet"
"635";"times"
"636";"topographic"
"637";"total"
"638";"traditional"
"639";"training"
"640";"trees"
"641";"trend"
"642";"truth"
"643";"types"
"644";"typical"
"645";"uav-based"
"646";"understand"
"647";"understanding"
"648";"unmanned"
"649";"unmanned aerial"
"650";"unmanned aerial vehicles"
"651";"urban"
"652";"utilize"
"653";"validate"
"654";"validation"
"655";"valuable"
"656";"values"
"657";"variability"
"658";"variable"
"659";"variables"
"660";"variation"
"661";"variations"
"662";"varying"
"663";"vector"
"664";"vector machine"
"665";"vegetation indices"
"666";"vehicle"
"667";"vehicles"
"668";"visible"
"669";"visual"
"670";"volume"
"671";"western"
"672";"widely"
"673";"wiley"
"674";"world"
"675";"years"
"676";"yield"
